"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.08129852013612938,"-",295491904,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06891675491521852,"-",179196963,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.05566799374843448,"-",90631181,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.04027079834237865,"-",119429874,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.03113720201340638,"-",71538833,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.030353910778000776,"-",57762753,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.025038931743039863,"-",57662925,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.01948783300318087,"-",26791802,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.014831038270807926,"-",13756984,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014356538193640144,"-",32687586,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.014336362237496132,"-",22364969,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.014056599648782319,"-",9650174,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.0138625523640834,"-",34342781,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.01181108675091974,"-",19890808,"USD"
"XOM","EXXONMOBIL HOLDINGS CORP","30233Q108","BVSRPD7",0.00950600626811041,"-",50562289,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.00935110053838994,"-",29362571,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.009015951599071563,"-",20245899,"USD"
"WMT","WALMART INC","931142103","2936921",0.007347899173314955,"-",53476238,"USD"
"INTC","INTEL CORP","458140100","2463247",0.007199935492956876,"-",57657308,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.007186691583222283,"-",48176654,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.0068062492728478375,"-",9841729,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006513222768493487,"-",21548830,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.006414943755546075,"-",9685557,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.006300429949925517,"-",5411005,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.006179224168766861,"-",79626311,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.005916806700506056,"-",28000601,"USD"
"LRCX","LAM RESEARCH CORP","512807306","BSML4N7",0.0058378033779352,"-",15262782,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.005811955747456207,"-",5617536,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.005785077812821123,"-",12724680,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.005538795107703745,"-",11075637,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.0053067065928532765,"-",12147090,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005232554702473718,"-",22831198,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.005086251512308949,"-",28399029,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.005049930790068536,"-",47222599,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.004759495050533868,"-",30131520,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.004677180750529364,"-",51352893,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.004594826438712973,"-",3597758,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.00450146887862766,"-",16429512,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.004428077212673954,"-",19014224,"USD"
"PANW","PALO ALTO NETWORKS INC","697435105","B87ZMX0",0.004422565585586521,"-",9894038,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004001611315676501,"-",37333874,"USD"
"GEV","GE VERNOVA INC","36828A101","BP6H4Y1",0.003986916977761005,"-",3277137,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.003903092231857767,"-",11105923,"USD"
"MS","MORGAN STANLEY","617446448","2262314",0.0038865573505954694,"-",14624522,"USD"
"KLAC","KLA CORP","482480100","2480138",0.0038803455168000146,"-",15943996,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.0037374933454104985,"-",20693671,"USD"
"C","CITIGROUP INC","172967424","2297907",0.003450858728005095,"-",20807806,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.0033952123006232666,"-",5640558,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.003321830637622533,"-",6580020,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.0033186396956245453,"-",11466638,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.003309206910972188,"-",4534934,"USD"
"CRWD","CROWDSTRIKE HOLDINGS INC   A","22788C105","BJJP138",0.003273296309803617,"-",12426618,"USD"
"APH","AMPHENOL CORP CL A","032095101","2145084",0.003120341155912637,"-",15013636,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.0029459896856150903,"-",50957963,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.0029238231418296998,"-",8671092,"USD"
"ANET","ARISTA NETWORKS INC","040413205","BL9XPM3",0.0029205521762079383,"-",12600744,"USD"
"MRVL","MARVELL TECHNOLOGY INC","573874104","BNKJSM5",0.002870087278465476,"-",10681694,"USD"
"ADI","ANALOG DEVICES INC","032654105","2032067",0.0028540125330398787,"-",5958032,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.002848620941388107,"-",16679773,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.002815241087321388,"-",21256440,"USD"
