"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.08084152154774742,"-",297296135,"USD"
"AAPL","APPLE INC","037833100","2046251",0.07331557350157285,"-",180280114,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.05591429838592187,"-",91179545,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.037691624965582496,"-",120160502,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.029811365304598592,"-",71975952,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.02611436765160667,"-",58117216,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.023869430372625632,"-",58015372,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.02163022538478404,"-",26955468,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.01684799397471175,"-",13842016,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.015644422919396654,"-",34555039,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014480307634158297,"-",32888388,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.014207188471160037,"-",22502355,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.013578327121567221,"-",9709446,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.012551136563773175,"-",20013605,"USD"
"XOM","EXXONMOBIL HOLDINGS CORP","30233Q108","BVSRPD7",0.010467413720589982,"-",50871928,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.009799266668894892,"-",29543968,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.009314072741734142,"-",20368224,"USD"
"INTC","INTEL CORP","458140100","2463247",0.007572096491246586,"-",60611662,"USD"
"WMT","WALMART INC","931142103","2936921",0.007083981396524377,"-",53803049,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.006971566465400556,"-",9902057,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006885121914377957,"-",21682003,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.006485432162380982,"-",48473060,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.006241874814944785,"-",80120931,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.006118085337528557,"-",5444453,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.006086712798238327,"-",22973155,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.005819285910385522,"-",28174455,"USD"
"LRCX","LAM RESEARCH CORP","512807306","BSML4N7",0.005697207116712479,"-",15351799,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.0056661046853817,"-",5652184,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.005508311617070227,"-",9742735,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.005463323635824002,"-",30317018,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.005388393687072786,"-",11144021,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.005196667055855555,"-",47512725,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.005168175668132796,"-",12803216,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.005086923192330743,"-",28571819,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.004890424653829889,"-",51665904,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.0046522994775781935,"-",12221218,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.004596557197946447,"-",3619582,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.004519326329540654,"-",19123790,"USD"
"PANW","PALO ALTO NETWORKS INC","697435105","B87ZMX0",0.0041946765702783745,"-",9951318,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.0041824816961091174,"-",37547503,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.004078230027759796,"-",16529932,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.003968186044280038,"-",20835257,"USD"
"MS","MORGAN STANLEY","617446448","2262314",0.0038949667792720073,"-",14707719,"USD"
"SNDK","SANDISK CORP","80004C200","BSNPZV3",0.0038329019725894245,"-",1818459,"USD"
"GEV","GE VERNOVA INC","36828A101","BP6H4Y1",0.0037963273540801523,"-",3299601,"USD"
"C","CITIGROUP INC","172967424","2297907",0.003609112526185591,"-",20925636,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.003600208967522229,"-",11170111,"USD"
"KLAC","KLA CORP","482480100","2480138",0.003537563928926753,"-",16033078,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.003425769245709818,"-",4560774,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.003360333091533355,"-",11530735,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.003260693266491684,"-",5672230,"USD"
"CRWD","CROWDSTRIKE HOLDINGS INC   A","22788C105","BJJP138",0.0032500690200866385,"-",12495836,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.0031886344653094395,"-",51241674,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.00315547121028804,"-",6625126,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.0030374040200127584,"-",10037462,"USD"
"MRVL","MARVELL TECHNOLOGY INC","573874104","BNKJSM5",0.003035643316277083,"-",10740602,"USD"
"APH","AMPHENOL CORP CL A","032095101","2145084",0.003017566090990908,"-",30195342,"USD"
"ANET","ARISTA NETWORKS INC","040413205","BL9XPM3",0.0029822019562999137,"-",12671456,"USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS","G7997R103","BKVD2N4",0.002954030696529096,"-",2750864,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.002854130767526473,"-",16772255,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.0028487486163344625,"-",12933101,"USD"
