"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07900978197552364,"-",296782940,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06789284084707868,"-",179979883,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.056371012767037765,"-",91027149,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.04082015090058763,"-",119951698,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.031435340097987305,"-",71851357,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.029988022040166304,"-",58015109,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.025218964497895215,"-",57914821,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.019590078594201935,"-",26908826,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.014611660578158001,"-",9692310,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.014557995076877956,"-",13817060,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.014552733557087964,"-",22462673,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014454655227162367,"-",32830370,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.013966324172737295,"-",34492833,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.011479435835040953,"-",19977748,"USD"
"XOM","EXXONMOBIL HOLDINGS CORP","30233Q108","BVSRPD7",0.00993008830600719,"-",50783273,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.009448379164321615,"-",29490911,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.008974292224308992,"-",20334403,"USD"
"WMT","WALMART INC","931142103","2936921",0.007404688844372697,"-",53709918,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.007257666376932977,"-",48387150,"USD"
"INTC","INTEL CORP","458140100","2463247",0.006910726163252255,"-",57909112,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.006812167694638596,"-",9884693,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006567497021514665,"-",21643038,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.00633626022876708,"-",5434649,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.00624974523891226,"-",79974347,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.006215435328494636,"-",9727877,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.006030481904698172,"-",28122961,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.005782960408113884,"-",5642100,"USD"
"LRCX","LAM RESEARCH CORP","512807306","BSML4N7",0.005747770243434816,"-",15329482,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.005734996553754553,"-",12780248,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.005564067180805176,"-",11124029,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005469409839032005,"-",22931018,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.005237012711121607,"-",12200174,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.005111396426857898,"-",28523137,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.00504192636042921,"-",47428955,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.004848450474919681,"-",30263172,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.004815150856324849,"-",51577373,"USD"
"PANW","PALO ALTO NETWORKS INC","697435105","B87ZMX0",0.004682262471514897,"-",9937278,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.004574511347602755,"-",3613490,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.004525647233203311,"-",16501272,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.004346785569011609,"-",19097300,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004015930001380899,"-",37496990,"USD"
"GEV","GE VERNOVA INC","36828A101","BP6H4Y1",0.00399101280404845,"-",3291489,"USD"
"MS","MORGAN STANLEY","617446448","2262314",0.0038704679846773738,"-",14688462,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.0038417997038444557,"-",20784107,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.00382797571078406,"-",11154407,"USD"
"KLAC","KLA CORP","482480100","2480138",0.0037769809809563492,"-",16013640,"USD"
"C","CITIGROUP INC","172967424","2297907",0.0034581488863058094,"-",20898702,"USD"
"CRWD","CROWDSTRIKE HOLDINGS INC   A","22788C105","BJJP138",0.0034389033272260693,"-",12480898,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.0034140561501189623,"-",5665214,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.003374044592780625,"-",6608816,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.0033424954798193457,"-",4554714,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.003330391983724499,"-",11516778,"USD"
"APH","AMPHENOL CORP CL A","032095101","2145084",0.0030945338561043354,"-",15079232,"USD"
"ANET","ARISTA NETWORKS INC","040413205","BL9XPM3",0.0029660967570482736,"-",12655760,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.002945520813687033,"-",51180511,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.002917142616644818,"-",8708996,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.002837759686885557,"-",21349268,"USD"
