"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.08131191753850495,"-",297770541,"USD"
"AAPL","APPLE INC","037833100","2046251",0.0668068813925718,"-",180567669,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.0549988701379434,"-",91325261,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03867186078122917,"-",120344126,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.030261407898247418,"-",72085858,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.029476091001573723,"-",58206212,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.024221329689046816,"-",58103739,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.019467626763835906,"-",26996450,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.015959257787408306,"-",13862941,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014496213709264363,"-",32938594,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.014259768405435897,"-",34607740,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.014228979901959121,"-",9724296,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.013846744332317144,"-",22536607,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.011734100841311363,"-",20043905,"USD"
"XOM","EXXONMOBIL HOLDINGS CORP","30233Q108","BVSRPD7",0.00979455515818914,"-",50949819,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.009401796682225664,"-",29598218,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.009036195706892286,"-",20400769,"USD"
"INTC","INTEL CORP","458140100","2463247",0.00769443512603746,"-",60715553,"USD"
"WMT","WALMART INC","931142103","2936921",0.007560528142267613,"-",53905390,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.00681813310018094,"-",9920652,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.006678834627335724,"-",48563326,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.0066034137968565545,"-",21721778,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.006358706211068435,"-",5454438,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.006319365345514779,"-",9753977,"USD"
"LRCX","LAM RESEARCH CORP","512807306","BSML4N7",0.006278053935716506,"-",15369899,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.0062349120203509,"-",80265422,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.006123901360316706,"-",28225371,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.00586535995376563,"-",5662659,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.005606628494723958,"-",12826756,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.0055146630948001525,"-",23014455,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.005399951412580642,"-",11164531,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.005071090584508536,"-",12244603,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.005043643003761209,"-",47601666,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.005005332422761843,"-",28627010,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.004986647262107321,"-",30352759,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.004908825768589027,"-",51765145,"USD"
"PANW","PALO ALTO NETWORKS INC","697435105","B87ZMX0",0.004786882088964151,"-",9973468,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.00458297577207849,"-",3626657,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.004407817395086349,"-",16549432,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.004388502060384057,"-",19166831,"USD"
"GEV","GE VERNOVA INC","36828A101","BP6H4Y1",0.004201800495278791,"-",3303501,"USD"
"KLAC","KLA CORP","482480100","2480138",0.004073375025448279,"-",16051969,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004018929988273461,"-",37633403,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.003949640851306723,"-",20859798,"USD"
"MS","MORGAN STANLEY","617446448","2262314",0.003901907667878792,"-",14741869,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.0037061836108514814,"-",11183286,"USD"
"C","CITIGROUP INC","172967424","2297907",0.003526784062490219,"-",20974778,"USD"
"CRWD","CROWDSTRIKE HOLDINGS INC   A","22788C105","BJJP138",0.003419674479894602,"-",12510328,"USD"
"SNDK","SANDISK CORP","80004C200","BSNPZV3",0.003371961301991997,"-",1820609,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.003359127757495343,"-",6632917,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.003322177552218147,"-",11558635,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.003297820825133694,"-",4566149,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.003295460173145221,"-",5685850,"USD"
"ANET","ARISTA NETWORKS INC","040413205","BL9XPM3",0.0031309047245758805,"-",12686406,"USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS","G7997R103","BKVD2N4",0.0030793804940986652,"-",2757514,"USD"
"APH","AMPHENOL CORP CL A","032095101","2145084",0.003036588675426266,"-",15115433,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.0029982780944268995,"-",51301866,"USD"
"MRVL","MARVELL TECHNOLOGY INC","573874104","BNKJSM5",0.0028995208186549043,"-",10767377,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.0028860270918224904,"-",21399861,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.0028804855613071773,"-",8729440,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.0028619504420926015,"-",16792021,"USD"
