"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07924536187322861,"-",295239310,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06737073182413336,"-",179043783,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.056300648400760774,"-",90553709,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.04009422048234666,"-",119327778,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.03032611616765003,"-",71477687,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.029634234078114302,"-",57713379,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.024387085617225104,"-",57613641,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.019791776971312788,"-",26768906,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.014732356056425538,"-",13745230,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014591782965150136,"-",32659650,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.014457321747408452,"-",9641930,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.01423989509744317,"-",22345853,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.01409291004064386,"-",34313423,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.011633025987786295,"-",19873798,"USD"
"XOM","EXXONMOBIL HOLDINGS CORP","30233Q108","BVSRPD7",0.009962593933544388,"-",50519053,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.009405933294792185,"-",29337461,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.009057266414446683,"-",20228583,"USD"
"WMT","WALMART INC","931142103","2936921",0.007468039252752539,"-",53430518,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.007153852942080865,"-",48135470,"USD"
"INTC","INTEL CORP","458140100","2463247",0.0069464393615218814,"-",57608042,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.00681308848414393,"-",9833323,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006644906929770251,"-",21530398,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.006300371315823152,"-",5406379,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.006283556161305687,"-",79558217,"USD"
